taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
298;2016.12.12 12:15;1860;14,9;39;0;készpénz
2642;2016.12.10 23:00;1980;12,2;34,25;0;készpénz
7861;2016.12.22 17:30;780;2;9,75;2;bankkártya
2102;2016.12.16 14:45;660;2,5;10;0;készpénz
1438;2016.12.12 18:15;900;1,3;9;0;készpénz
2022;2016.12.20 0:45;0;0;3,25;0;készpénz
3997;2016.12.10 22:45;300;0,7;5,5;3;bankkártya
4089;2016.12.11 13:45;360;0,9;6;0;készpénz
6237;2016.12.18 19:00;1920;17,5;43,75;5;bankkártya
1426;2016.12.27 19:30;480;0,9;6,5;0;készpénz
2330;2016.12.31 3:15;420;0,1;10,25;0;készpénz
5254;2016.12.20 23:15;960;4,8;14,5;2,9;bankkártya
4495;2016.12.02 22:30;600;3,8;12,5;2,7;bankkártya
3923;2016.12.28 18:45;420;1,1;6,75;2;bankkártya
8232;2016.12.22 13:00;840;0;14,25;0;készpénz
2828;2016.12.09 23:15;180;0,4;4,5;0;készpénz
6650;2016.12.08 17:45;960;1,3;9,25;3;bankkártya
7802;2016.12.22 14:00;1740;6,2;21,5;0;készpénz
8647;2016.12.28 18:30;180;0,6;5;1;bankkártya
8679;2016.12.21 17:00;420;1,1;6,5;0;készpénz
7307;2016.12.03 21:00;180;0,53;4,5;0;készpénz
3931;2016.12.14 8:30;180;0,6;4,5;0;készpénz
3684;2016.12.07 22:45;180;0;5;0;készpénz
5071;2016.12.01 21:30;420;1,3;7,25;3;bankkártya
1618;2016.12.09 12:15;1680;17,7;43,25;7;bankkártya
2468;2016.12.07 7:00;1560;18;45,25;11,3;bankkártya
3278;2016.12.13 13:45;660;4,2;13,25;0;készpénz
1180;2016.12.07 9:00;600;1,8;8,25;0;készpénz
2435;2016.12.17 2:00;600;2,6;10;2,2;bankkártya
5226;2016.12.10 4:45;180;0,6;5;4;bankkártya
4044;2016.12.02 13:45;960;0;11;0;készpénz
8648;2016.12.16 14:45;2160;0;27,75;4;bankkártya
3178;2016.12.14 21:15;540;3;11;0;készpénz
688;2016.12.13 13:45;840;3;11,5;0;készpénz
1750;2016.12.08 13:15;60;0;3,25;0;készpénz
6744;2016.12.16 13:00;420;0;6,25;2;bankkártya
4999;2016.12.11 1:15;540;1,5;7,75;0;bankkártya
